USERID,gender,date,noMeals,mealNo,Time,mealType,Where,noPeople,Who,Who2,Who3,AmoFo,Mood,Stress,Serving Weight Grams,Calories,Fat (g),Saturated Fat (g),Sodium (mg),Total Carbohydrates (g),Fiber (g),Sugars (g),Protein (g),Vitamin A (%DV)
2,2,4/29/2022,2,m2,11:00:00 PM,6,1,0,0,0,0,2,3,5,0,370,8,1.5,890,63,10,4,11,0
2,2,4/30/2022,2,m1,12:45:00 PM,3,1,0,0,0,0,1,4,4,888.01,941.2418,21.3302,4.1238,796.2861,137.0948,3.9841,28.3929,47.8276,12.7
2,2,4/30/2022,2,m2,7:00:00 PM,5,1,0,0,0,0,1,4,8,244,290.5227,16.2195,8.5071,893.3616,18.2393,1.5353,6.6747,19.7525,81
2,2,5/1/2022,3,m1,12:30:00 PM,3,5,3,1,0,0,2,5,3,78,285,16.5,3.75,465,27,0,0.75,7.5,0
2,2,5/1/2022,3,m2,2:00:00 PM,4,6,4,2,0,0,1,5,3,28,140,6,1,190,18,0,1,3,0
2,2,5/1/2022,3,m3,7:00:00 PM,5,5,2,1,0,0,2,5,3,472,706.733,43.1436,24.3633,4143.626,18.8272,3.7245,11.4251,65.8274,101
2,2,5/2/2022,1,m1,5:00:00 PM,3,3,0,0,0,0,2,2,7,420,775.5846,29.3436,16.8634,1281.826,95.9515,3.5641,40.9813,32.3676,80
2,2,5/3/2022,2,m1,4:30:00 PM,4,1,0,0,0,0,2,1,8,254,622.6372,31.432,8.7387,2791.589,56.7303,3.5711,7.145,27.5968,16
2,2,5/3/2022,2,m2,11:00:00 PM,5,1,0,0,0,0,2,1,8,25,120,10,6,0,13,0,9,2,0
2,2,5/4/2022,1,m1,6:00:00 PM,5,1,0,0,0,0,2,1,9,736.8,725.264,35.9592,10.4704,2171.76,73.0392,6.8,18.0249,30.8599,255.6
2,2,5/5/2022,3,m1,3:30:00 PM,3,1,0,0,0,0,1,2,7,817.89,515.1924,15.3227,5.8883,1331.783,83.8816,3,40.523,11.4908,0
2,2,5/5/2022,3,m2,4:00:00 PM,5,1,0,0,0,0,2,1,8,664.5,749.39,14.6595,3.3016,2151.16,91.3858,8.204,31.9752,58.9315,254.2
2,2,5/5/2022,3,m3,10:30:00 PM,6,1,0,0,0,0,1,2,7,664.5,749.39,14.6595,3.3016,2151.16,91.3858,8.204,31.9752,58.9315,254.2
2,2,5/6/2022,3,m1,5:00:00 PM,3,1,0,0,0,0,2,1,9,1021.39,415.9724,9.9652,2.3576,118.5082,70.8975,1.859,32.5689,10.4373,89.3
2,2,5/6/2022,3,m2,7:00:00 PM,5,1,0,0,0,0,1,1,8,619.6,1308.77,77.9015,19.7687,2049.223,124.9824,15.3066,13.7185,32.8459,252
2,2,5/6/2022,3,m3,11:00:00 PM,6,1,0,0,0,0,2,2,7,619.6,1308.77,77.9015,19.7687,2049.223,124.9824,15.3066,13.7185,32.8459,252
